入替日,2025/11/13,,,,,
入替時刻,15:34,,,,,
ホール名,台番号,種類,機種名,検定番号,貸出単価,表示単価
タイホー　双葉店,351,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒Ｌ,210166,4.16,500円/120玉
タイホー　双葉店,352,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒Ｌ,210166,4.16,500円/120玉
タイホー　双葉店,353,P,Ｐゴジラ対エヴァンゲリオン　Ｇ細胞覚醒Ｌ,210166,4.16,500円/120玉
タイホー　双葉店,355,P,Ｐベルセルク無双～冥府魔道Ｍ１２－Ｚ,2P1823,4.16,500円/120玉
タイホー　双葉店,356,P,Ｐフィーバーダンベル何キロ持てる？Ｖ,2P1346,4.16,500円/120玉
タイホー　双葉店,357,P,ＰぱちんこアズールレーンTHE ANIMATION ＭＣ２,2P0629,4.16,500円/120玉
タイホー　双葉店,358,P,ＰぱちんこアズールレーンTHE ANIMATION ＭＣ２,2P0629,4.16,500円/120玉
タイホー　双葉店,360,P,Ｐフィーバー炎炎ノ消防隊Ｇ,2P0685,4.16,500円/120玉
タイホー　双葉店,361,P,Ｐフィーバー炎炎ノ消防隊Ｇ,2P0685,4.16,500円/120玉
タイホー　双葉店,362,P,Ｐフィーバー炎炎ノ消防隊Ｇ,2P0685,4.16,500円/120玉
タイホー　双葉店,363,P,Ｐ真北斗無双４ＧＦＰＨ,210262,4.16,500円/120玉
タイホー　双葉店,365,P,Ｐ真北斗無双４ＧＦＰＨ,210262,4.16,500円/120玉
タイホー　双葉店,366,P,Ｐ真北斗無双４ＧＦＰＨ,210262,4.16,500円/120玉
